,State,Gasoline Stations,"Sales ($1,000)","Gallon Sales (1,000 gallons)",Gallons per establishment (1000s),Sales Per Establishment,Total Stations,Out of Fuel,Out of Fuel Percentage,_merge
0,Alabama,3233.0,418566.0,889692,275.1908444169502,129.46674914939683,,,,left_only
1,Alaska,195.0,50981.0,(V),,261.44102564102565,,,,left_only
2,Arizona,2064.0,343953.0,688675,333.66036821705427,166.64389534883722,107.0,7.0,6.542056074766355,both
3,Arkansas,2063.0,276981.0,(V),,134.2612699951527,,,,left_only
4,California,17534.0,3350780.0,7403320,422.22653131059656,191.10185924489562,,,,left_only
5,Colorado,2604.0,392465.0,833870,320.22657450076804,150.7162058371736,,,,left_only
6,Connecticut,2421.0,478213.0,945462,390.52540272614624,197.52705493597688,88.0,16.0,18.18181818181818,both
7,Delaware,472.0,52034.0,(V),,110.24152542372882,47.0,4.0,8.51063829787234,both
8,District of Columbia,304.0,95314.0,196305,645.7401315789474,313.5328947368421,,,,left_only
9,Florida,7444.0,1279879.0,2745609,368.83516926383663,171.93430951101558,270.0,44.0,16.2962962962963,both
10,Georgia,5046.0,797799.0,(V),,158.10523186682522,144.0,9.0,6.25,both
11,Hawaii,427.0,104217.0,170661,399.6744730679157,244.0679156908665,,,,left_only
12,Idaho,936.0,128394.0,233708,249.68803418803418,137.17307692307693,,,,left_only
13,Illinois,8689.0,1720533.0,3323294,382.4714006214754,198.0127747727011,79.0,6.0,7.59493670886076,both
14,Indiana,5145.0,946329.0,1057481,205.53566569484937,183.93177842565598,,,,left_only
15,Iowa,3626.0,557093.0,1020025,281.3086045228902,153.638444567016,,,,left_only
16,Kansas,2851.0,407854.0,867014,304.10873377762186,143.0564714135391,,,,left_only
17,Kentucky,2994.0,508568.0,1113477,371.90280561122245,169.8623914495658,77.0,17.0,22.07792207792208,both
18,Louisiana,3080.0,462135.0,(V),,150.04383116883116,66.0,2.0,3.03030303030303,both
19,Maine,986.0,152030.0,274717,278.61764705882354,154.18864097363084,,,,left_only
20,Maryland,2622.0,650938.0,1332841,508.3299008390542,248.2601067887109,24.0,7.0,29.16666666666667,both
21,Massachusetts,3986.0,749098.0,(V),,187.93226292022078,60.0,10.0,16.66666666666666,both
22,Michigan,7588.0,1417276.0,3052954,402.3397469688983,186.77859778597787,171.0,13.0,7.602339181286549,both
23,Minnesota,3787.0,672539.0,1288568,340.2608925270663,177.59149722735674,,,,left_only
24,Mississippi,2122.0,279016.0,587520,276.87087653157397,131.48727615457116,35.0,1.0,2.857142857142857,both
25,Missouri,4963.0,828570.0,1770482,356.73624823695343,166.9494257505541,44.0,1.0,2.272727272727273,both
26,Montana,912.0,137245.0,209666,229.8969298245614,150.48793859649123,,,,left_only
27,Nebraska,1894.0,304455.0,535191,282.57180570221755,160.74709609292503,50.0,1.0,2.0,both
28,Nevada,722.0,145540.0,281289,389.59695290858724,201.57894736842104,,,,left_only
29,New Hampshire,744.0,129005.0,255023,342.77284946236557,173.3938172043011,46.0,5.0,10.8695652173913,both
30,New Jersey,4664.0,1019553.0,2171924,465.67838765008577,218.6005574614065,50.0,11.0,22.0,both
31,New Mexico,1353.0,202523.0,(V),,149.68440502586844,40.0,3.0,7.5,both
32,New York,9247.0,1896371.0,(V),,205.0795933816373,161.0,33.0,20.49689440993789,both
33,North Carolina,4994.0,701534.0,(V),,140.47537044453344,213.0,43.0,20.18779342723005,both
34,North Dakota,692.0,116866.0,171130,247.29768786127167,168.8815028901734,,,,left_only
35,Ohio,9781.0,1689005.0,3681805,376.4241897556487,172.6822410796442,231.0,25.0,10.82251082251082,both
36,Oklahoma,2892.0,363917.0,(V),,125.83575380359613,69.0,1.0,1.449275362318841,both
37,Oregon,2370.0,369215.0,773538,326.3873417721519,155.78691983122363,223.0,20.0,8.968609865470851,both
38,Pennsylvania,8645.0,1558477.0,3360473,388.7186813186813,180.27495662232505,284.0,77.0,27.11267605633803,both
39,Rhode Island,700.0,113972.0,(V),,162.81714285714287,37.0,5.0,13.51351351351351,both
40,South Carolina,2574.0,379160.0,(V),,147.3038073038073,80.0,6.0,7.5,both
41,South Dakota,902.0,132518.0,223474,247.75388026607538,146.91574279379157,56.0,1.0,1.785714285714286,both
42,Tennessee,4052.0,622481.0,1423593,351.3309476801579,153.62314906219152,76.0,12.0,15.78947368421053,both
43,Texas,13462.0,1818911.0,(V),,135.1144703610162,,,,left_only
44,Utah,1329.0,182191.0,411644,309.73965387509406,137.0887885628292,,,,left_only
45,Vermont,472.0,81136.0,150804,319.5,171.89830508474577,29.0,4.0,13.79310344827586,both
46,Virginia,3847.0,765950.0,1546302,401.9500909799844,199.10319729659474,98.0,5.0,5.102040816326531,both
47,Washington,3476.0,551902.0,1132233,325.7287111622555,158.77502876869966,105.0,7.0,6.666666666666667,both
48,West Virginia,1632.0,241280.0,487549,298.74325980392155,147.84313725490196,73.0,16.0,21.91780821917808,both
49,Wisconsin,4191.0,660708.0,1333284,318.13027916964927,157.64924838940587,75.0,1.0,1.333333333333333,both
50,Wyoming,636.0,94894.0,186885,293.8443396226415,149.20440251572327,,,,left_only
51,,,,,,,82.0,11.0,13.41463414634146,both
52,,,,,,,726.0,58.0,7.988980716253444,both
53,,,,,,,41.0,3.0,7.317073170731707,both
54,,,,,,,314.0,20.0,6.369426751592357,both
55,,,,,,,46.0,1.0,2.173913043478261,both
56,,,,,,,82.0,11.0,13.41463414634146,both
57,,,,,,,726.0,58.0,7.988980716253444,both
58,,,,,,,41.0,3.0,7.317073170731707,both
59,,,,,,,314.0,20.0,6.369426751592357,both
60,,,,,,,46.0,1.0,2.173913043478261,both
61,,,,,,,82.0,11.0,13.41463414634146,both
62,,,,,,,726.0,58.0,7.988980716253444,both
63,,,,,,,41.0,3.0,7.317073170731707,both
64,,,,,,,314.0,20.0,6.369426751592357,both
65,,,,,,,46.0,1.0,2.173913043478261,both
66,,,,,,,82.0,11.0,13.41463414634146,both
67,,,,,,,726.0,58.0,7.988980716253444,both
68,,,,,,,41.0,3.0,7.317073170731707,both
69,,,,,,,314.0,20.0,6.369426751592357,both
70,,,,,,,46.0,1.0,2.173913043478261,both
71,(V) indicates insufficient reporting to show the data separately.,,,,,,,,,left_only
72,"Source: U.S. Bureau of the Census, Census of Retail Trade, 1972
VOLUME I. SUMMARY AND SUBJECT STATISTICS. Table 2A
U.S. Government Printing Office, Washington, D.C. 1976",,,,,,,,,left_only
