state,abbrev,p0_upper_avg,p0_lower_avg,p0_upper_open,p0_upper_nonopen,p0_lower_open,p0_lower_nonopen,share_open,share_nonopen,rationing
Arizona,AZ,1.7222555869763978,1.361127793488199,0.6999999999999997,2.7637990152165015,0.8499999999999999,1.8818995076082508,0.5046728971962617,0.4953271028037383,0.4953271028037383
California,CA,1.4504723691696366,1.2252361845848183,0.6999999999999995,2.7637990152165015,0.8499999999999998,1.8818995076082508,0.6363636363636365,0.3636363636363636,0.3636363636363636
Colorado,CO,0.9948284307452139,0.997414215372607,0.6999999999999993,2.7637990152165015,0.8499999999999996,1.8818995076082508,0.8571428571428572,0.14285714285714285,0.14285714285714285
Connecticut,CT,2.5996331844606435,1.7998165922303218,0.7,2.7637990152165015,0.85,1.8818995076082508,0.07954545454545459,0.9204545454545454,0.9204545454545454
Florida,FL,1.663106207101034,1.331553103550517,0.7000000000000002,2.7637990152165015,0.8500000000000001,1.8818995076082508,0.5333333333333332,0.46666666666666673,0.46666666666666673
Hawaii,HI,0.7,0.85,0.7,,0.85,,1.0,0.0,0.0
Idaho,ID,0.6999999999999995,0.8499999999999998,0.6999999999999995,,0.8499999999999998,,1.0,0.0,0.0
Illinois,IL,1.7188374885246023,1.3594187442623011,0.7000000000000002,2.7637990152165015,0.8500000000000001,1.8818995076082508,0.5063291139240507,0.4936708860759494,0.4936708860759494
Indiana,IN,0.7693713954694622,0.884685697734731,0.7,2.763799015216502,0.85,1.881899507608251,0.9663865546218487,0.03361344537815126,0.03361344537815126
Iowa,IA,0.8684733889972656,0.9342366944986329,0.7000000000000001,2.7637990152165015,0.8500000000000001,1.8818995076082508,0.9183673469387755,0.0816326530612245,0.0816326530612245
Kansas,KS,1.3281127437615439,1.164056371880772,0.7,2.7637990152165015,0.85,1.8818995076082508,0.6956521739130435,0.30434782608695654,0.30434782608695654
Kentucky,KY,1.6112878768488446,1.3056439384244223,0.6999999999999995,2.7637990152165015,0.8499999999999998,1.8818995076082508,0.5584415584415584,0.4415584415584416,0.4415584415584416
Maine,ME,2.1094237177088306,1.5547118588544153,0.7000000000000003,2.7637990152165015,0.8500000000000001,1.8818995076082508,0.31707317073170727,0.6829268292682927,0.6829268292682927
Maryland,MD,1.9038827588762925,1.4519413794381462,0.6999999999999997,2.7637990152165015,0.8499999999999999,1.8818995076082508,0.41666666666666663,0.5833333333333334,0.5833333333333334
Michigan,MI,1.1103460030255028,1.0551730015127514,0.6999999999999995,2.763799015216502,0.8499999999999998,1.881899507608251,0.8011695906432749,0.1988304093567251,0.1988304093567251
Minnesota,MN,0.9293110016907222,0.9646555008453612,0.7,2.7637990152165015,0.85,1.8818995076082508,0.8888888888888888,0.1111111111111111,0.1111111111111111
Mississippi,MS,1.0537941168942573,1.0268970584471286,0.6999999999999997,2.7637990152165015,0.8499999999999999,1.8818995076082508,0.8285714285714285,0.17142857142857143,0.17142857142857143
Missouri,MO,0.7469045230731025,0.8734522615365513,0.7000000000000002,2.7637990152165015,0.8500000000000001,1.8818995076082508,0.9772727272727273,0.022727272727272728,0.022727272727272728
Montana,MT,0.6999999999999996,0.8499999999999999,0.6999999999999996,,0.8499999999999999,,1.0,0.0,0.0
Nebraska,NE,0.8238279409129898,0.9119139704564949,0.6999999999999997,2.763799015216502,0.8499999999999999,1.881899507608251,0.94,0.06,0.06
Nevada,NV,0.803189950760825,0.9015949753804126,0.7,2.7637990152165015,0.85,1.8818995076082508,0.95,0.05,0.05
New Hampshire,NH,2.3151470553868276,1.657573527693414,0.6999999999999995,2.763799015216502,0.8499999999999998,1.881899507608251,0.21739130434782594,0.7826086956521741,0.7826086956521741
New Jersey,NJ,2.433591172781861,1.7167955863909306,0.6999999999999994,2.7637990152165015,0.8499999999999996,1.8818995076082508,0.16000000000000003,0.84,0.84
North Dakota,ND,0.7341123804168015,0.8670561902084007,0.6999999999999998,2.7637990152165015,0.8499999999999999,1.8818995076082508,0.9834710743801653,0.01652892561983471,0.01652892561983471
Ohio,OH,1.1556439384244221,1.077821969212211,0.6999999999999997,2.7637990152165015,0.8499999999999999,1.8818995076082508,0.7792207792207793,0.22077922077922074,0.22077922077922074
Oregon,OR,1.5144139611616687,1.2572069805808344,0.6999999999999998,2.7637990152165015,0.8499999999999999,1.8818995076082508,0.6053811659192825,0.3946188340807175,0.3946188340807175
Pennsylvania,PA,1.8045684870172827,1.4022842435086411,0.7,2.7637990152165015,0.85,1.8818995076082508,0.46478873239436613,0.5352112676056339,0.5352112676056339
South Dakota,SD,0.8842677692157591,0.9421338846078795,0.7000000000000001,2.7637990152165015,0.8500000000000001,1.8818995076082508,0.9107142857142857,0.08928571428571427,0.08928571428571427
Tennessee,TN,1.4603470056060792,1.2301735028030396,0.6999999999999997,2.7637990152165015,0.8499999999999999,1.8818995076082508,0.631578947368421,0.3684210526315789,0.3684210526315789
Utah,UT,0.7,0.85,0.7,,0.85,,1.0,0.0,0.0
